#
# srr_latn_lex 1.0 generated from template.
#
# This is an example tab-separated wordlist file that can be edited in a spreadsheet
# program or regenerated from a wordlist tool. See lexical model documentation at 
# https://help.keyman.com/developer/ for tools.
#
# Columns
# =======
# WORD	FREQUENCY	(Optional)NOTES
#
a	50470
abel	10
abiya	4
abiyud	2
abraham	130
adax	153
adna	413
adook	4
adookaa	2
adookin	4
adoox	10
adooxan	37
adooxna	16
adooxong	3
aha	5
ahaas	2
akaa	160
akaaga	50
ake	1242
akene	19
akeeke	12
akeene	91
akim	2
alaa	511
alaaga	13
alaaxira	2
ale	2273
alene	58
aleene	74
alfe	5
alkaati	17
aluu	82
am	2
aminadab	11
amon	61
an	268
aniin	14
and	458
anda	159
andare	13
andaxam	3
andaa	44
andaam	93
andaanum	8
anddiloor	180
anddiran	3
andditeel	4
andditkaa	2
andee	91
andeerna	37
andidna	1
andin	11
andinum	6
andiran	17
andiraam	4
andiraamo	7
andit	10
andiim	25
andkee	6
andna	48
andoona	147
andtu	5
andu	17
andum	10
andun	5
andyo	21
apootar	110
apta	1
aram	5
arimate	4
arkelawos	1
as	38
asamaan	455
asin	2
asoor	4
ax	37
axaa	206
axe	1264
axene	32
axeeke	78
aa	379
aamiin	37
aasa	2
ba	611
babilon	45
bakaad	194
bakaadangaa	3
bakaadaam	5
bakaadnooraa	1
bakaadnoorna	1
balid	1
bar	20
barabaas	11
barakiya	1
barir	3
bartelemi	4
batand	95
bateer	36
batiise	18
baxtu	10
baa	186
baabakaad	45
baasan	36
baasanitkeer	1
baase	5
baasin	4
baata	1
baawaadin	7
baayo	28
begax	43
belsebul	8
ben	17
berenga	3
bes	390
betani	15
betandax	7
betfage	3
betleheem	41
betsayda	8
beeru	22
bineegar	9
bind	34
binde	24
bindeena	31
bindtuuna	5
biil	9
biiñ	194
bo	590
bon	9
bowaas	38
boo	2715
boog	480
booru	10
bug	139
bugangaa	14
bugaxama	8
bugaam	23
bugel	3
bugee	8
bugiim	21
bugkaa	4
bugko	107
bugna	88
bugo	16
bugoona	16
bugoonga	2
bugtanoona	3
bugtanuuma	3
bugteeru	1
bugtoona	1
buguuma	27
buguuna	6
ɓakand	4
ɓalgand	1
ɓangdel	4
ɓanja	1
ɓasi	2
ɓaxa	8
ɓaxel	1
ɓaxu	2
ɓaxuna	3
ɓay	325
ɓaat	26
ɓaatinna	3
ɓaatnee	8
ɓaatoox	5
ɓaax	12
ɓek	42
ɓekaan	4
ɓeke	2
ɓekin	13
ɓekna	6
ɓelafuleer	2
ɓemb	121
ɓetaa	157
ɓetuk	26
ɓetuu	460
ɓil	177
ɓis	38
ɓisa	15
ɓisaan	12
ɓise	8
ɓisiid	60
ɓisiidan	2
ɓisiidaa	20
ɓisiidaam	7
ɓisiide	16
ɓisiidel	12
ɓisiideena	3
ɓisiidiim	1
ɓisiidooge	1
ɓisiidoonga	2
ɓisiidum	3
ɓisloox	14
ɓislooxa	7
ɓisnitiidaan	1
ɓodaxa	1
ɓolu	3
ɓoluna	2
ɓoƭ	2
ɓoxot	135
ɓoxotanuuma	1
ɓoxotaam	31
ɓoxotaan	10
ɓoxotel	44
ɓoxotin	33
ɓoxotitkeel	1
ɓoxotitna	3
ɓoxotkaxam	6
ɓoxotkaa	9
ɓoxotong	11
ɓoxotooguuna	1
ɓoof	10
ɓura	2
ɓurange	2
ɓurong	2
ɓut	5
ɓuuɓu	1
caf	343
cafeñu	13
cangin	86
cap	12
carind	462
cat	89
caafu	3
caajangin	78
caambuur	3
caate	44
cegel	134
cegee	33
cegtu	2
cegu	76
cek	3
cenjel	17
ceŋ	11
cer	295
ceeq	5
ci	94
ciba	2
cikax	2
cini	89
cinj	883
cir	17
ciic	7
ciig	8
ciijikax	3
cofaƭaru	9
cofel	205
cofu	117
cok	41
col	8
colandax	64
comlaand	49
combol	19
coxod	15
coy	37
coono	118
coong	132
coow	11
coox	72
cooxa	31
cooxaxam	7
cooxaa	16
cooxaam	24
cooxaan	15
cooxaanoyo	2
cooxe	8
cooxel	18
cooxeen	2
cooxeena	6
cooxin	79
cooxiraam	3
cooxit	17
cooxong	17
cooxtaa	10
cooxtiidoona	1
cooxuuma	8
cooxyo	3
cuni	315
cung	17
cungang	2
cungoogeeruuna	2
cuq	4
cuuraay	66
ƈas	2
ƈasaa	1
ƈasaale	1
ƈasik	1
ƈasitkeel	1
ƈaxa	3
ƈaxna	1
ƈaxrand	7
ƈaxwaa	3
ƈiƴ	39
ƈiƴiidaa	2
ƈiƴu	7
ƈookluwaa	2
ƈuf	37
ƈufa	12
ƈufan	4
ƈufyo	4
ƈut	53
ƈutangaa	1
da	2394
dadkandeer	15
daduk	30
dag	193
dagoox	5
dagwel	2
dak	9
daka	1
dakaa	14
dakkaa	3
dakooxa	4
dakooxuuna	1
dakukaa	2
dakwa	61
dakwaan	15
dakwoonga	1
dal	121
dalfo	3
dalfooxa	115
dalfooxaa	1
dalfooxaan	8
dalinkaa	4
dalkirang	3
dam	46
dama	17
damaan	7
dame	8
damel	5
dameena	9
damin	8
damna	15
damoox	14
damun	5
dara	406
dawid	814
daxaaƴoox	4
daykaa	2
daaba	7
daaɓu	2
daalbe	319
daali	67
daan	69
daaƭ	43
daaw	50
daawin	30
daawtu	2
de	142
deɓ	22
deɓa	10
deɓanaa	1
deɓaa	12
deɓel	20
deɓeena	4
deɓi	2
deɓin	18
dekapol	3
den	5723
denaar	3
derem	2
deya	9
diwliin	121
diiboor	8
diid	60
diida	7
dolnir	9
don	186
doŋ	71
dox	49
doxin	27
doxnaan	5
doxnel	3
doxneena	9
doxnin	9
doxnong	4
doole	386
doon	99
doona	249
doonahina	2
doonaneen	2
doonaa	9
doonaan	261
doonin	43
dooniran	6
doonkiro	3
doonu	10
duf	1
duleer	151
duq	19
duqa	3
duqin	5
duuf	4
duufe	69
duufeena	8
duufeeroona	2
duufeeruuma	2
duufik	3
duufin	3
duufna	8
duufo	1
duufuuna	1
ɗagan	4
ɗas	8
ɗasin	9
ɗasna	10
ɗasnatinin	1
ɗasnaa	5
ɗasneena	5
ɗasnik	1
ɗatit	1
ɗaxdee	2
ɗaxkaa	3
ɗaanaa	14
ɗaay	205
ɗaaya	27
ɗaayaa	2
ɗeg	37
ɗegel	5
ɗegeen	5
ɗegin	8
ɗek	8
ɗelem	84
ɗeeta	9
ɗeetaa	26
ɗeetloox	7
ɗik	246
ɗikandeer	42
ɗingaan	1
ɗom	26
ɗomeel	5
ɗoxangaa	1
ɗuudaa	1
ɗuumoox	4
eleyasaar	54
eliya	30
eliyakim	10
eliyud	2
es	2271
esayi	52
esrom	6
ee	4203
eedantel	3
eedir	11
eedtaa	4
eegin	1
eel	101
eeli	48
eet	30
eetatir	5
eetaand	132
eetkaa	9
eetna	23
eetti	1
eetu	15
eetyo	3
fa	4596
faceet	3
facin	4
fadandu	1
fadaa	6
fadik	2
fadin	43
fadiid	19
fadiida	67
fadiidafulee	6
fadiidangaa	6
fadiidna	61
fadiidu	6
fadna	31
fadnoortu	8
fadnooru	2
fadnoox	9
fadnu	18
fadoonga	3
faɗ	89
faɗangaang	2
faɗookin	1
faɗoox	9
faɗooxaam	1
faɗu	2
fagkeer	49
fagkeerna	1
falakaand	4
falakna	5
fangool	25
fañ	342
fañangaa	1
fañaam	10
fañaand	2
fañin	12
fañna	3
faraaj	5
fareerna	2
farisiya	111
farna	378
fasaaƥ	1
fat	1902
faw	215
faa	924
faaf	13
faafa	3
faafak	2
faafaal	9
faafkee	4
faaga	174
faam	48
faambir	11
faan	59
faap	555
faax	49
faaxeer	24
faaxna	36
faaxu	6
feca	1
fela	7
felakinoortu	2
felakinoortum	5
felakinoox	16
felangaang	6
felaxam	5
felee	6
felna	41
felong	6
feme	4
fene	75
feñaxu	2
fera	5
fertu	3
fes	68
feskeerna	2
fesna	9
feƭarong	1
fex	61
fexangaan	2
fexaxama	6
fexeyooga	1
fexna	31
fexoonga	3
fexum	1
fexuuma	45
fee	4894
feeke	75
feene	198
feeña	17
feeñat	1
feeñaak	3
feeñee	2
feeñil	17
feeñit	5
feeñlin	4
feeñooxa	23
feeñooxaan	4
feeseeroona	1
feeseeruuma	1
feet	161
fi	338
fiɗ	2
fiɗel	200
fiftin	4
filip	52
fimb	41
fit	5
fitel	2
fiic	3
fo	7580
fodandaa	1
fodkaa	3
fodna	23
fof	7
fog	385
foga	6
fogin	1
fogkiro	3
fogna	109
fogo	5
fokat	32
fokata	19
fokataa	14
fokateerna	2
fokatna	6
fokatta	1
fop	3294
forok	13
forolkee	2
foofi	233
foogiro	1
foolti	2
foona	2
foonkaa	2
fooƴaa	3
fud	80
fudna	1
fudnel	4
fudoorna	5
fudoox	17
fudooxi	2
fudooxiidaa	1
fum	15
fur	8
furɓaa	1
fuu	110
fuuf	3
fuul	31
fuumand	1
fuurel	2
fuux	192
fuuxa	12
